song,artist
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Heat Waves,Glass Animals
Easy On Me,Adele
abcdefu,GAYLE
Stay,The Kid LAROI & Justin Bieber
Super Gremlin,Kodak Black
Shivers,Ed Sheeran
Ghost,Justin Bieber
Thats What I Want,Lil Nas X
Pushin P,Gunna & Future Featuring Young Thug
Surface Pressure,Jessica Darrow
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Need To Know,Doja Cat
Bad Habits,Ed Sheeran
MAMIII,Becky G X Karol G
Levitating,Dua Lipa
Industry Baby,Lil Nas X & Jack Harlow
Save Your Tears,The Weeknd & Ariana Grande
Hrs And Hrs,Muni Long
Bussin,Nicki Minaj X Lil Baby
The Joker And The Queen,Ed Sheeran Featuring Taylor Swift
One Right Now,Post Malone & The Weeknd
Still D.R.E.,Dr. Dre Featuring Snoop Dogg
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
Big Energy,Latto
Woman,Doja Cat
Enemy,Imagine Dragons X JID
I Hate U,SZA
Oh My God,Adele
Good 4 U,Olivia Rodrigo
Knife Talk,Drake Featuring 21 Savage & Project Pat
Do We Have A Problem?,Nicki Minaj X Lil Baby
'Til You Can't,Cody Johnson
Worst Day,Future
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Love Nwantiti (Ah Ah Ah),CKay
The Next Episode,Dr. Dre Featuring Snoop Dogg
Sand In My Boots,Morgan Wallen
Buy Dirt,Jordan Davis Featuring Luke Bryan
Lose Yourself,Eminem
Fancy Like,Walker Hayes
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
You Should Probably Leave,Chris Stapleton
You Right,Doja Cat & The Weeknd
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Essence,Wizkid Featuring Justin Bieber & Tems
Light Switch,Charlie Puth
Fingers Crossed,Lauren Spencer-Smith
Dos Oruguitas,Sebastian Yatra
To Be Loved By You,Parker McCollum
Better Days,NEIKED X Mae Muller X Polo G
Sacrifice,The Weeknd
One Mississippi,Kane Brown
23,Sam Hunt
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Waiting On A Miracle,Stephanie Beatriz
Beers On Me,"Dierks Bentley, Breland & HARDY"
AA,Walker Hayes
Chosen,Blxst & Tyga Featuring Ty Dolla $ign
Heart On Fire,Eric Church
Doin' This,Luke Combs
P Power,Gunna Featuring Drake
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Broadway Girls,Lil Durk Featuring Morgan Wallen
Freedom Was A Highway,Jimmie Allen & Brad Paisley
She's All I Wanna Be,Tate McRae
Don't Play That,King Von & 21 Savage
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
Cigarettes,Juice WRLD
Rumors,Gucci Mane Featuring Lil Durk
Pressure,Ari Lennox
Boyfriend,Dove Cameron
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"
For Tonight,Giveon
Peru,Fireboy DML & Ed Sheeran
High,The Chainsmokers
Beautiful Lies,Yung Bleu & Kehlani
Never Say Never,Cole Swindell / Lainey Wilson
Do It To It,Acraze Featuring Cherish
I Love You So,The Walters
Circles Around This Town,Maren Morris
Good Morning Gorgeous,Mary J. Blige
If I Was A Cowboy,Miranda Lambert
Numb Little Bug,Em Beihold
Scorpio,Moneybagg Yo
By Your Side,Rod Wave
Whiskey And Rain,Michael Ray
Closer,Saweetie Featuring H.E.R.
Cold December,Rod Wave
The Motto,Tiesto & Ava Max
Flower Shops,ERNEST Featuring Morgan Wallen
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Get Into It (Yuh),Doja Cat
Stay Alive,Jung Kook
All Too Well (Taylor's Version),Taylor Swift
Come Back As A Country Boy,Blake Shelton
Iffy,Chris Brown
Home Sweet,Russell Dickerson
Too Easy,Gunna & Future
Blinding Lights,The Weeknd
Circles,Post Malone
The Box,Roddy Ricch
Don't Start Now,Dua Lipa
Rockstar,DaBaby Featuring Roddy Ricch
Adore You,Harry Styles
Life Is Good,Future Featuring Drake
Memories,Maroon 5
The Bones,Maren Morris
Someone You Loved,Lewis Capaldi
Say So,Doja Cat
I Hope,Gabby Barrett Featuring Charlie Puth
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
Dance Monkey,Tones And I
Savage,Megan Thee Stallion
Roxanne,Arizona Zervas
Intentions,Justin Bieber Featuring Quavo
Everything I Wanted,Billie Eilish
Roses,SAINt JHN
Watermelon Sugar,Harry Styles
Before You Go,Lewis Capaldi
Falling,Trevor Daniel
"10,000 Hours",Dan + Shay & Justin Bieber
WAP,Cardi B Featuring Megan Thee Stallion
Ballin',Mustard & Roddy Ricch
Hot Girl Bummer,blackbear
Blueberry Faygo,Lil Mosey
Heartless,The Weeknd
BOP,DaBaby
Lose You To Love Me,Selena Gomez
Good As Hell,Lizzo
Toosie Slide,Drake
Break My Heart,Dua Lipa
Chasin' You,Morgan Wallen
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
No Guidance,Chris Brown Featuring Drake
My Oh My,Camila Cabello Featuring DaBaby
Dynamite,BTS
Go Crazy,Chris Brown & Young Thug
High Fashion,Roddy Ricch Featuring Mustard
Laugh Now Cry Later,Drake Featuring Lil Durk
Woah,Lil Baby
Death Bed,Powfu Featuring beabadoobee
Senorita,Shawn Mendes & Camila Cabello
HIGHEST IN THE ROOM,Travis Scott
Bad Guy,Billie Eilish
Mood,24kGoldn Featuring iann dior
Rain On Me,Lady Gaga & Ariana Grande
For The Night,Pop Smoke Featuring Lil Baby & DaBaby
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin
Heart On Ice,Rod Wave
Nobody But You,Blake Shelton Duet With Gwen Stefani
Trampoline,SHAED
Come & Go,Juice WRLD x Marshmello
Truth Hurts,Lizzo
If The World Was Ending,JP Saxe Featuring Julia Michaels
We Paid,Lil Baby & 42 Dugg
Yummy,Justin Bieber
One Man Band,Old Dominion
Got What I Got,Jason Aldean
Sunday Best,Surfaces
Godzilla,Eminem Featuring Juice WRLD
Bandit,Juice WRLD & YoungBoy Never Broke Again
Party Girl,StaySolidRocky
Die From A Broken Heart,Maddie & Tae
Popstar,DJ Khaled Featuring Drake
All I Want For Christmas Is You,Mariah Carey
One Of Them Girls,Lee Brice
Hard To Forget,Sam Hunt
One Margarita,Luke Bryan
Panini,Lil Nas X
Hot,Young Thug Featuring Gunna
I Hope You're Happy Now,Carly Pearce & Lee Brice
Emotionally Scarred,Lil Baby
Suicidal,YNW Melly & Juice WRLD
The Bigger Picture,Lil Baby
Only Human,Jonas Brothers
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
Sum 2 Prove,Lil Baby
Stuck With U,Ariana Grande & Justin Bieber
Mood Swings,Pop Smoke Featuring Lil Tjay
You Should Be Sad,Halsey
Dior,Pop Smoke
Supalonely,BENEE Featuring Gus Dapperton
Even Though I'm Leaving,Luke Combs
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
Juicy,Doja Cat & Tyga
Be Like That,Kane Brown With Swae Lee & Khalid
Homesick,Kane Brown
Rags2Riches,Rod Wave Featuring ATR Son Son
Bluebird,Miranda Lambert
Wishing Well,Juice WRLD
Does To Me,Luke Combs Featuring Eric Church
P*$$y Fairy (OTW),Jhene Aiko
ily,Surf Mesa Featuring Emilee
More Than My Hometown,Morgan Wallen
Lovin' On You,Luke Combs
Said Sum,Moneybagg Yo
Slide,H.E.R. Featuring YG
Walk Em Down,NLE Choppa Featuring Roddy Ricch
Levitating,Dua Lipa
Save Your Tears,The Weeknd & Ariana Grande
Blinding Lights,The Weeknd
Mood,24kGoldn Featuring iann dior
Good 4 U,Olivia Rodrigo
Kiss Me More,Doja Cat Featuring SZA
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
Drivers License,Olivia Rodrigo
Montero (Call Me By Your Name),Lil Nas X
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Butter,BTS
Stay,The Kid LAROI & Justin Bieber
Deja Vu,Olivia Rodrigo
Positions,Ariana Grande
Bad Habits,Ed Sheeran
Heat Waves,Glass Animals
Without You,The Kid LAROI
Forever After All,Luke Combs
Go Crazy,Chris Brown & Young Thug
Astronaut In The Ocean,Masked Wolf
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion
What You Know Bout Love,Pop Smoke
My Ex's Best Friend,Machine Gun Kelly X blackbear
Industry Baby,Lil Nas X & Jack Harlow
Therefore I Am,Billie Eilish
Up,Cardi B
Fancy Like,Walker Hayes
Dakiti,Bad Bunny & Jhay Cortez
Best Friend,Saweetie Featuring Doja Cat
Rapstar,Polo G
Heartbreak Anniversary,Giveon
For The Night,Pop Smoke Featuring Lil Baby & DaBaby
Calling My Phone,Lil Tjay Featuring 6LACK
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Holy,Justin Bieber Featuring Chance The Rapper
On Me,Lil Baby
You Broke Me First.,Tate McRae
Traitor,Olivia Rodrigo
Back In Blood,Pooh Shiesty Featuring Lil Durk
I Hope,Gabby Barrett Featuring Charlie Puth
Dynamite,BTS
Wockesha,Moneybagg Yo
You Right,Doja Cat & The Weeknd
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby
Laugh Now Cry Later,Drake Featuring Lil Durk
Need To Know,Doja Cat
Wants And Needs,Drake Featuring Lil Baby
Way 2 Sexy,Drake Featuring Future & Young Thug
Telepatia,Kali Uchis
Whoopty,CJ
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
Good Days,SZA
Starting Over,Chris Stapleton
Body,Megan Thee Stallion
Willow,Taylor Swift
Bang!,AJR
Better Together,Luke Combs
You're Mines Still,Yung Bleu Featuring Drake
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Essence,Wizkid Featuring Justin Bieber & Tems
Chasing After You,Ryan Hurd With Maren Morris
The Good Ones,Gabby Barrett
Leave Before You Love Me,Marshmello X Jonas Brothers
Glad You Exist,Dan + Shay
Lonely,Justin Bieber & benny blanco
Beggin',Maneskin
Streets,Doja Cat
What's Next,Drake
Famous Friends,Chris Young + Kane Brown
Lil Bit,Nelly & Florida Georgia Line
Thot Shit,Megan Thee Stallion
Late At Night,Roddy Ricch
Kings & Queens,Ava Max
Anyone,Justin Bieber
Track Star,Mooski
Time Today,Moneybagg Yo
Cry Baby,Megan Thee Stallion Featuring DaBaby
All I Want For Christmas Is You,Mariah Carey
No More Parties,Coi Leray Featuring Lil Durk
What's Your Country Song,Thomas Rhett
One Too Many,Keith Urban Duet With P!nk
Arcade,Duncan Laurence
Yonaguni,Bad Bunny
Good Time,Niko Moon
If I Didn't Love You,Jason Aldean & Carrie Underwood
Knife Talk,Drake Featuring 21 Savage & Project Pat
pov,Ariana Grande
Just The Way,Parmalee x Blanco Brown
Take My Breath,The Weeknd
We're Good,Dua Lipa
Hell Of A View,Eric Church
Rockin' Around The Christmas Tree,Brenda Lee
Put Your Records On,Ritt Momney
Happier Than Ever,Billie Eilish
Single Saturday Night,Cole Swindell
Things A Man Oughta Know,Lainey Wilson
Throat Baby (Go Baby),BRS Kash
Tombstone,Rod Wave
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line
Todo de Ti,Rauw Alejandro
